EDDH 23 16.154400000000003 46.0 23 53.6369113 10.0014879 05 53.6182268 9.9636813 11130 230.21300000000338
EDDH 15 16.154400000000003 46.0 15 53.6544151 9.975215 33 53.6251125 10.0005299 10955 152.8819999999978
EDGS 31 598.6272 30.0 31 50.7037844 8.0907357 13 50.7127362 8.0727088 10890 308.12399999999616
UUBP 34 202.0824 42.06 34 53.2037583 34.1786417 16 53.2251053 34.1731881 10990 351.377999999997
LFQQ 26 45.72 45.0 26 50.568418 3.1219567 08 50.5628806 3.0830167 11075 257.3880000000063
UNBG 20 294.7416 42.0 20 51.9785553 85.8436312 02 51.9598362 85.8292688 10990 205.2569999999978
LKVO 28 279.5016 45.0 28 50.2137995 14.4124402 10 50.2195677 14.3786108 11075 284.92600000000675
EGMD 21 3.9624 32.0 21 50.9618568 0.9449298 03 50.950486 0.933364 10815 207.0500000000029
EPMI 30 150.876 45.0 30 53.388555 16.0983845 12 53.401336 16.067655 11090 304.8600000000006
EGNH 28 10.3632 46.02 28 53.770878 -3.014439 10 53.772239 -3.042686 10815 274.67200000000594
EGXE 16 39.9288 40.0 16 54.3019311 -1.5426022 34 54.2831185 -1.5281696 11030 155.83000000000175
UARR 04 38.7096 45.0 04 51.1442826 51.528163 22 51.1597661 51.5597062 11130 51.96600000000035
UARR 22 38.7096 45.0 22 51.1597661 51.5597062 04 51.1442826 51.528163 10970 231.96600000000035
EGUB 19 68.8848 46.02 19 51.6231773 -1.0940514 01 51.6069741 -1.097641 11095 187.8070000000007
EGVN 07 88.08720000000001 56.08 07 51.7460677 -1.604207 25 51.7538903 -1.5617098 10855 73.47799999999916
EGVN 25 88.08720000000001 56.08 25 51.7538903 -1.5617098 07 51.7460677 -1.604207 10855 253.4780000000028
EGNL 35 13.1064 45.11 35 54.1242992 -3.2655777 17 54.133125 -3.2692941 11015 346.13099999999395
EPMM 26 183.7944 80.0 26 52.1955 21.67416 08 52.1956 21.6376 11130 270.2700000000041
EGAC 04 4.572 45.11 04 54.611362 -5.8805886 22 54.6248512 -5.8644243 10810 34.711999999999534
EGAC 22 4.572 45.11 22 54.6248512 -5.8644243 04 54.611362 -5.8805886 10810 214.71199999999953
CYXS 15 680.3136000000001 46.02 15 53.8995097 -122.6708083 33 53.8685751 -122.6621198 10950 170.59300000000076
CYWK 36 551.0784 45.72 36 52.9149702 -66.860094 18 52.9304628 -66.8692415 11010 340.39599999999336
UWWW 15 145.3896 45.0 15 53.5185862 50.1684427 33 53.4931747 50.183645 11190 160.42799999999988
UWWW 33 145.3896 45.0 33 53.4931747 50.183645 15 53.5185862 50.1684427 11110 340.4279999999999
